r: 3, CCNOT: 14, depth: 15, max depth qbits: [5, 17]/18, corresponding to ['H[1,2]', 'C[5]']
r: 4, CCNOT: 38, depth: 26, max depth qbits: [11, 33]/34, corresponding to ['H[2,3]', 'C[11]']
r: 5, CCNOT: 80, depth: 40, max depth qbits: [19, 54]/55, corresponding to ['H[3,4]', 'C[19]']
r: 6, CCNOT: 145, depth: 57, max depth qbits: [29, 80]/81, corresponding to ['H[4,5]', 'C[29]']
r: 7, CCNOT: 238, depth: 77, max depth qbits: [41, 111]/112, corresponding to ['H[5,6]', 'C[41]']
r: 8, CCNOT: 364, depth: 100, max depth qbits: [55, 147]/148, corresponding to ['H[6,7]', 'C[55]']
r: 9, CCNOT: 528, depth: 126, max depth qbits: [71, 188]/189, corresponding to ['H[7,8]', 'C[71]']
r: 10, CCNOT: 735, depth: 155, max depth qbits: [89, 234]/235, corresponding to ['H[8,9]', 'C[89]']
r: 11, CCNOT: 990, depth: 187, max depth qbits: [109, 285]/286, corresponding to ['H[9,10]', 'C[109]']
r: 12, CCNOT: 1298, depth: 222, max depth qbits: [131, 341]/342, corresponding to ['H[10,11]', 'C[131]']
r: 13, CCNOT: 1664, depth: 260, max depth qbits: [155, 402]/403, corresponding to ['H[11,12]', 'C[155]']
r: 14, CCNOT: 2093, depth: 301, max depth qbits: [181, 468]/469, corresponding to ['H[12,13]', 'C[181]']
r: 15, CCNOT: 2590, depth: 345, max depth qbits: [209, 539]/540, corresponding to ['H[13,14]', 'C[209]']
r: 16, CCNOT: 3160, depth: 392, max depth qbits: [239, 615]/616, corresponding to ['H[14,15]', 'C[239]']
r: 17, CCNOT: 3808, depth: 442, max depth qbits: [271, 696]/697, corresponding to ['H[15,16]', 'C[271]']
r: 18, CCNOT: 4539, depth: 495, max depth qbits: [305, 782]/783, corresponding to ['H[16,17]', 'C[305]']
r: 19, CCNOT: 5358, depth: 551, max depth qbits: [341, 873]/874, corresponding to ['H[17,18]', 'C[341]']
r: 20, CCNOT: 6270, depth: 610, max depth qbits: [379, 969]/970, corresponding to ['H[18,19]', 'C[379]']
r: 21, CCNOT: 7280, depth: 672, max depth qbits: [419, 1070]/1071, corresponding to ['H[19,20]', 'C[419]']
r: 22, CCNOT: 8393, depth: 737, max depth qbits: [461, 1176]/1177, corresponding to ['H[20,21]', 'C[461]']
r: 23, CCNOT: 9614, depth: 805, max depth qbits: [505, 1287]/1288, corresponding to ['H[21,22]', 'C[505]']
r: 24, CCNOT: 10948, depth: 876, max depth qbits: [551, 1403]/1404, corresponding to ['H[22,23]', 'C[551]']
r: 25, CCNOT: 12400, depth: 950, max depth qbits: [599, 1524]/1525, corresponding to ['H[23,24]', 'C[599]']
r: 26, CCNOT: 13975, depth: 1027, max depth qbits: [649, 1650]/1651, corresponding to ['H[24,25]', 'C[649]']
r: 27, CCNOT: 15678, depth: 1107, max depth qbits: [701, 1781]/1782, corresponding to ['H[25,26]', 'C[701]']
r: 28, CCNOT: 17514, depth: 1190, max depth qbits: [755, 1917]/1918, corresponding to ['H[26,27]', 'C[755]']
r: 29, CCNOT: 19488, depth: 1276, max depth qbits: [811, 2058]/2059, corresponding to ['H[27,28]', 'C[811]']
r: 30, CCNOT: 21605, depth: 1365, max depth qbits: [869, 2204]/2205, corresponding to ['H[28,29]', 'C[869]']
r: 31, CCNOT: 23870, depth: 1457, max depth qbits: [929, 2355]/2356, corresponding to ['H[29,30]', 'C[929]']
r: 32, CCNOT: 26288, depth: 1552, max depth qbits: [991, 2511]/2512, corresponding to ['H[30,31]', 'C[991]']
r: 33, CCNOT: 28864, depth: 1650, max depth qbits: [1055, 2672]/2673, corresponding to ['H[31,32]', 'C[1055]']
r: 34, CCNOT: 31603, depth: 1751, max depth qbits: [1121, 2838]/2839, corresponding to ['H[32,33]', 'C[1121]']
r: 35, CCNOT: 34510, depth: 1855, max depth qbits: [1189, 3009]/3010, corresponding to ['H[33,34]', 'C[1189]']
r: 36, CCNOT: 37590, depth: 1962, max depth qbits: [1259, 3185]/3186, corresponding to ['H[34,35]', 'C[1259]']
r: 37, CCNOT: 40848, depth: 2072, max depth qbits: [1331, 3366]/3367, corresponding to ['H[35,36]', 'C[1331]']
r: 38, CCNOT: 44289, depth: 2185, max depth qbits: [1405, 3552]/3553, corresponding to ['H[36,37]', 'C[1405]']
r: 39, CCNOT: 47918, depth: 2301, max depth qbits: [1481, 3743]/3744, corresponding to ['H[37,38]', 'C[1481]']
r: 40, CCNOT: 51740, depth: 2420, max depth qbits: [1559, 3939]/3940, corresponding to ['H[38,39]', 'C[1559]']
r: 41, CCNOT: 55760, depth: 2542, max depth qbits: [1639, 4140]/4141, corresponding to ['H[39,40]', 'C[1639]']
r: 42, CCNOT: 59983, depth: 2667, max depth qbits: [1721, 4346]/4347, corresponding to ['H[40,41]', 'C[1721]']
r: 43, CCNOT: 64414, depth: 2795, max depth qbits: [1805, 4557]/4558, corresponding to ['H[41,42]', 'C[1805]']
r: 44, CCNOT: 69058, depth: 2926, max depth qbits: [1891, 4773]/4774, corresponding to ['H[42,43]', 'C[1891]']
r: 45, CCNOT: 73920, depth: 3060, max depth qbits: [1979, 4994]/4995, corresponding to ['H[43,44]', 'C[1979]']
r: 46, CCNOT: 79005, depth: 3197, max depth qbits: [2069, 5220]/5221, corresponding to ['H[44,45]', 'C[2069]']
r: 47, CCNOT: 84318, depth: 3337, max depth qbits: [2161, 5451]/5452, corresponding to ['H[45,46]', 'C[2161]']
r: 48, CCNOT: 89864, depth: 3480, max depth qbits: [2255, 5687]/5688, corresponding to ['H[46,47]', 'C[2255]']
r: 49, CCNOT: 95648, depth: 3626, max depth qbits: [2351, 5928]/5929, corresponding to ['H[47,48]', 'C[2351]']
